id,name_ar,category,sku,image_url
tp-link-archer-vr300-vdsl-001,TP-Link Archer VR300 VDSL,راوترات,RTR-0001,https://m.media-amazon.com/images/I/41PDFEJtC3L._AC_SY300_SX300_QL70_ML2_.jpg
mikrotik-hap-ac2-002,MikroTik hAP ac2,راوترات,RTR-0002,https://m.media-amazon.com/images/I/51-Sbb400HL._AC_SL1500_.jpg
huawei-wifi-ax3-dual-core-003,Huawei WiFi AX3 Dual-Core,راوترات,RTR-0003,https://m.media-amazon.com/images/I/41GL3AxKIsL._AC_SL1000_.jpg
tp-link-archer-vr300-vdsl-2024-004,TP-Link Archer VR300 VDSL 2024,راوترات,RTR-0004,https://m.media-amazon.com/images/I/61+eT6iJC7L._AC_SL1500_.jpg
mikrotik-hap-ac2-2024-005,MikroTik hAP ac2 2024,راوترات,RTR-0005,https://m.media-amazon.com/images/I/516UI8pKgKL._AC_SL1200_.jpg
huawei-wifi-ax3-dual-core-006,Huawei WiFi AX3 Dual-Core,راوترات,RTR-0006,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/routers/ax3-dual-core/update/img/huawei-ax3.jpg
tp-link-archer-vr300-vdsl-eu-007,TP-Link Archer VR300 VDSL (EU),راوترات,RTR-0007,https://m.media-amazon.com/images/I/41fTdpWVvkL._AC_SL1000_.jpg
mikrotik-hap-ac2-us-008,MikroTik hAP ac2 (US),راوترات,RTR-0008,https://m.media-amazon.com/images/I/61n-qzQJbOL._AC_SL1500_.jpg
huawei-wifi-ax3-dual-core-009,Huawei WiFi AX3 Dual-Core,راوترات,RTR-0009,https://m.media-amazon.com/images/I/51lhOnbVCaS._AC_SL1000_.jpg
tp-link-archer-vr300-vdsl-010,TP-Link Archer VR300 VDSL,راوترات,RTR-0010,https://m.media-amazon.com/images/I/71q6rzG-eWL._AC_SL1500_.jpg
mikrotik-hap-ac2-us-011,MikroTik hEX (RB750Gr3),راوترات,RTR-0011,https://m.media-amazon.com/images/I/51L-9E3blML._AC_SL1200_.jpg
huawei-wifi-ax3-dual-core-eu-012,Huawei WiFi AX3 Dual-Core (EU),راوترات,RTR-0012,https://m.media-amazon.com/images/I/5166OUb59SL._AC_SL1000_.jpg
tp-link-archer-vr300-vdsl-013,TP-Link Archer VR300 VDSL,راوترات,RTR-0013,https://m.media-amazon.com/images/I/41nWydiju6L._AC_SL1000_.jpg
mikrotik-hap-ac2-us-014,MikroTik hAP ac3,راوترات,RTR-0014,https://m.media-amazon.com/images/I/51xfD5oao-L._AC_SL1500_.jpg
huawei-wifi-ax3-dual-core-us-015,Huawei WiFi AX3 Dual-Core (US),راوترات,RTR-0015,http://m.media-amazon.com/images/I/61JyxIuZIAL._AC_SL1000_.jpg
tp-link-eap245-ac1750-eu-016,TP-Link EAP245 AC1750 (EU),Access Point,AP-0016,https://m.media-amazon.com/images/I/51csNqT6yhL._AC_SL1000_.jpg
ubiquiti-uapaclite-2024-017,Ubiquiti UniFi 6 Lite (U6-Lite),Access Point,AP-0017,https://m.media-amazon.com/images/I/3169HiMKWLL._AC_SL1200_.jpg
tenda-i24-ac1200-018,Tenda i24 AC1200,Access Point,AP-0018,https://m.media-amazon.com/images/I/41O0GpoDlWL._AC_SX679_.jpg
tp-link-eap245-ac1750-us-019,TP-Link EAP245 AC1750 (US),Access Point,AP-0019,https://m.media-amazon.com/images/I/71pA1XbLr-L._AC_SL1500_.jpg
ubiquiti-uapaclite-us-020,Ubiquiti UniFi 6 Pro (U6-Pro),Access Point,AP-0020,https://m.media-amazon.com/images/I/41oswqUA+cL._AC_SL1500_.jpg
tenda-i24-ac1200-v2-021,Tenda i24 AC1200 v2,Access Point,AP-0021,https://m.media-amazon.com/images/I/417BKwXdNPL._AC_SL1235_.jpg
tp-link-eap245-ac1750-2024-022,TP-Link EAP245 AC1750 2024,Access Point,AP-0022,https://m.media-amazon.com/images/I/21-gcYfgn4L._AC_.jpg
ubiquiti-uapaclite-2024-023,Ubiquiti UniFi 6 Long-Range (U6-LR),Access Point,AP-0023,https://m.media-amazon.com/images/I/41AAGW9OtNL._AC_SL1500_.jpg
tenda-i24-ac1200-2024-024,Tenda i24 AC1200 2024,Access Point,AP-0024,https://m.media-amazon.com/images/I/51E0TR4V1EL._AC_SL1000_.jpg
tp-link-eap245-ac1750-025,TP-Link EAP245 AC1750,Access Point,AP-0025,https://m.media-amazon.com/images/I/51y1o-MDT6L._AC_SL1500_.jpg
ubiquiti-uapaclite-2024-026,Ubiquiti UniFi 6 Plus (U6-Plus),Access Point,AP-0026,https://m.media-amazon.com/images/I/31Ik92ifmHL._AC_SL1200_.jpg
tenda-i24-ac1200-2024-027,Tenda i21 AC1200,Access Point,AP-0027,https://m.media-amazon.com/images/I/31suWFgC9ML._AC_SL1000_.jpg
tp-link-eap245-ac1750-028,TP-Link EAP245 AC1750,Access Point,AP-0028,https://m.media-amazon.com/images/I/71MbbGXitiL._AC_SX522_.jpg
ubiquiti-uapaclite-us-029,Ubiquiti UniFi AP AC Lite (US),Access Point,AP-0029,https://m.media-amazon.com/images/I/51nmvTWrIAL._AC_SL1500_.jpg
tenda-i24-ac1200-030,Tenda i9 N300 Ceiling AP,Access Point,AP-0030,https://m.media-amazon.com/images/I/61OL3OYH5NL._AC_SX679_.jpg
dlink-des1008a-8port-031,D-Link DES-1008A 8-Port,سويتشات,SW-0031,https://m.media-amazon.com/images/I/51VLX-rPVIL._AC_SL1500_.jpg
tplink-tlsg108-8port-gigabit-metal-case-032,TP-Link TL-SG108 8-Port Gigabit Metal Case,سويتشات,SW-0032,https://m.media-amazon.com/images/I/51ToKgSLTVL._AC_SL1001_.jpg
mikrotik-crs1128p4sin-033,MikroTik CRS112-8P-4S-IN,سويتشات,SW-0033,https://m.media-amazon.com/images/I/61CVhRYk4VL._AC_SL1500_.jpg
dlink-des1008a-8port-fanless-034,D-Link DGS-1008A 8-Port Gigabit,سويتشات,SW-0034,https://m.media-amazon.com/images/I/61IOmQqqVIL._AC_SL1500_.jpg
tplink-tlsg108-8port-gigabit-035,TP-Link TL-SG108 8-Port Gigabit,سويتشات,SW-0035,https://eg.pricenacdn.com/img?d=ax320&src=https%3A%2F%2Ff.nooncdn.com%2Fproducts%2Fv1647246189%2FN52866768A_3.jpg
mikrotik-crs1128p4sin-metal-case-036,MikroTik CRS305-1G-4S+IN,سويتشات,SW-0036,https://m.media-amazon.com/images/I/6177GTvhUIL._AC_SL1486_.jpg
dlink-des1008a-8port-fanless-037,D-Link DES-1005A 5-Port,سويتشات,SW-0037,https://m.media-amazon.com/images/I/51cf1V29W9L._AC_SL1500_.jpg
tplink-tlsg108-8port-gigabit-metal-case-038,TP-Link TL-SG105 5-Port Gigabit,سويتشات,SW-0038,https://m.media-amazon.com/images/I/61NcGvCh+wL._AC_SL1000_.jpg
mikrotik-crs1128p4sin-fanless-039,MikroTik CRS309-1G-8S+IN,سويتشات,SW-0039,https://m.media-amazon.com/images/I/61jnvFIrpbL._AC_SL1500_.jpg
dlink-des1008a-8port-metal-case-040,D-Link DES-1024D 24-Port,سويتشات,SW-0040,https://m.media-amazon.com/images/I/61CF8bjSPdL._AC_SL1500_.jpg
tplink-tlsg108-8port-gigabit-metal-case-041,TP-Link TL-SG1016 16-Port Gigabit,سويتشات,SW-0041,https://static.tp-link.com/TL-SG1016_UN_12.0_01_1499779346363t.jpg
mikrotik-crs1128p4sin-042,MikroTik CRS328-24P-4S+RM,سويتشات,SW-0042,https://www.hzgws.com/Uploads/202312/656ec3ed3ad88.jpg
dlink-des1008a-8port-fanless-043,D-Link DES-1008A 8-Port Fanless,سويتشات,SW-0043,https://www.dlink.com/en/-/media/product-pages/dgs/1008a/assets/dgs1008a1.png
tplink-tlsg108-8port-gigabit-poe-044,TP-Link TL-SG108 8-Port Gigabit PoE,سويتشات,SW-0044,https://m.media-amazon.com/images/I/41A5LFT+dxL._AC_SL1000_.jpg
mikrotik-crs1128p4sin-poe-045,MikroTik CRS112-8P-4S-IN PoE,سويتشات,SW-0045,https://www.getic.com/images/catalogue/1526/crs1128p4sin_1-5fdb0be074426-large.jpg
cat6-cable-100m-046,CAT6 Cable 100m,كابلات,CAB-0046,https://m.media-amazon.com/images/I/61Xqr1xd7mL._SL1500_.jpg
cat6-patch-cord-3m-black-047,CAT6 Patch Cord 3m Black,كابلات,CAB-0047,https://m.media-amazon.com/images/I/610BiYuyKdS._AC_SY300_SX300_QL70_ML2_.jpg
cat5e-cable-305m-048,CAT5e Cable 305m,كابلات,CAB-0048,https://m.media-amazon.com/images/I/6167skBV6kL._SL1500_.jpg
cat6-cable-100m-049,CAT6A Cable 100m,كابلات,CAB-0049,https://m.media-amazon.com/images/I/31F2y2Snl-L._SX342_SY445_QL70_ML2_.jpg
cat6-patch-cord-3m-blue-050,CAT6 Patch Cord 3m Blue,كابلات,CAB-0050,https://m.media-amazon.com/images/I/516JNsCOzDL._AC_SL1000_.jpg
cat5e-cable-305m-051,CAT5e Cable 305m,كابلات,CAB-0051,https://eservice-store.com/image/cache/catalog/cabel/PL-C6ASF-LSZH-W-ProLink-CAT6-S-FTP-CABLE-4-PAiR-23-AWG-LSZH-White-305m-500x500.jpg
cat6-cable-100m-052,CAT7 Cable 100m,كابلات,CAB-0052,https://eservice-store.com/image/cache/catalog/cabel/Prolink-CAT6-U-UTP-CABLE-4-PAiR-23-AWG-Orange-RiB-500x500.png
cat6-patch-cord-3m-black-053,CAT6 Patch Cord 5m Black,كابلات,CAB-0053,https://afaaqstores.com/wp-content/uploads/2025/05/Prolink-UNSHIELDED-CAT6-PATCH-CORD-W-T568B-WIRING-10M-LSZH-Black-afaaqstores.jpg
cat5e-cable-305m-black-054,CAT5e Cable 305m Black,كابلات,CAB-0054,https://m.media-amazon.com/images/I/71b5rnCsGeL._AC_SL1500_.jpg
cat6-cable-100m-black-055,CAT6 Cable 50m Black,كابلات,CAB-0055,https://m.media-amazon.com/images/I/51NhhahTaKL.jpg
cat6-patch-cord-3m-black-056,CAT6 Patch Cord 1m Black,كابلات,CAB-0056,https://eservice-store.com/image/cache/catalog/cabel/Prolink-UNSHiELDED-CAT6-PATCH-CORD-W-T568B-WiRiNG-5M-LSZH-Black-500x500.jpg
cat5e-cable-305m-057,CAT5e Cable 305m,كابلات,CAB-0057,https://egdigitaldreams.com/wp-content/uploads/2024/09/NCB-C6UGRYR-305-24-430x430-1.png
cat6-cable-100m-blue-058,CAT6A Cable 100m Blue,كابلات,CAB-0058,https://i.ebayimg.com/images/g/D40AAOSwGDFnvhc6/s-l1600.webp
cat6-patch-cord-3m-059,CAT6 Patch Cord 3m Grey,كابلات,CAB-0059,https://m.media-amazon.com/images/I/516JNsCOzDL._AC_SL1000_.jpg
cat5e-cable-305m-black-060,CAT5e Cable 305m Black,كابلات,CAB-0060,https://m.media-amazon.com/images/I/61jZQObKy9L._AC_SL1500_.jpg
rj45-crimping-tool-pro-plus-061,RJ45 Crimping Tool Pro Plus,أدوات,TLS-0061,https://m.media-amazon.com/images/I/61ZzMC6WWVL._AC_SL1500_.jpg
cable-tester-lcd-plus-062,Cable Tester LCD Plus,أدوات,TLS-0062,https://egdigitaldreams.com/wp-content/uploads/2024/09/2021010509484945.jpg
punch-down-tool-pro-063,Punch Down Tool Pro,أدوات,TLS-0063,https://m.media-amazon.com/images/I/51lV8nTvgTL._AC_SL1200_.jpg
rj45-crimping-tool-pro-plus-064,RJ45 All-in-One Crimping Tool,أدوات,TLS-0064,https://i.ebayimg.com/images/g/01QAAeSwEF9oQCA2/s-l1600.webp
cable-tester-lcd-065,Cable Tester LCD,أدوات,TLS-0065,https://m.media-amazon.com/images/I/6119UVYHwiL._SL1500_.jpg
punch-down-tool-066,Punch Down Tool,أدوات,TLS-0066,https://m.media-amazon.com/images/I/5114RoCoS3L._SL1500_.jpg
rj45-crimping-tool-pro-067,RJ45 Crimping Tool Pro,أدوات,TLS-0067,https://i.ebayimg.com/images/g/b7gAAOSwriJlc2nJ/s-l1600.webp
cable-tester-lcd-068,Network Cable Tester RJ45/RJ11,أدوات,TLS-0068,https://m.media-amazon.com/images/I/61Ff74KbHuL._AC_SL1500_.jpg
punch-down-tool-plus-069,Punch Down Tool Plus,أدوات,TLS-0069,https://m.media-amazon.com/images/I/61lG64hXK3L._AC_SL1500_.jpg
rj45-crimping-tool-pro-plus-070,Ratchet Crimping Tool RJ45/RJ11,أدوات,TLS-0070,https://m.media-amazon.com/images/I/61Tfvr6xAwL._AC_SL1500_.jpg
cable-tester-lcd-pro-071,Cable Tester LCD Pro,أدوات,TLS-0071,https://m.media-amazon.com/images/I/61m8TCxp34L._SL1200_.jpg
punch-down-tool-pro-072,Impact Punch Down Tool Pro,أدوات,TLS-0072,https://m.media-amazon.com/images/I/51goTzWh6KL._AC_SL1500_.jpg
rj45-crimping-tool-pro-plus-073,Modular Crimp Tool with Cutter,أدوات,TLS-0073,https://m.media-amazon.com/images/I/61aTJCsCw1L._AC_SL1500_.jpg
cable-tester-lcd-074,PoE Inline Tester,أدوات,TLS-0074,https://m.media-amazon.com/images/I/61LEwPVfl0L._SL1500_.jpg
punch-down-tool-075,110/66 Punch Down Tool,أدوات,TLS-0075,https://m.media-amazon.com/images/I/61ZnzRW5gpL._AC_SL1280_.jpg
poe-injector-48v-076,بو إي Injector 48V,طاقة,PWR-0076,https://m.media-amazon.com/images/I/61k1DL8ABBL._AC_SL1500_.jpg
ups-1200va-line-interactive-077,يو بي إس 1200VA Line-Interactive,طاقة,PWR-0077,https://m.media-amazon.com/images/I/51zJ5BoiE8L._AC_SL1280_.jpg
poe-switch-4-port-078,بو إي Switch 4-Port,طاقة,PWR-0078,https://m.media-amazon.com/images/I/71WCFZeuK2L._AC_SL1500_.jpg
poe-injector-48v-plus-079,بو إي Injector 48V Plus,طاقة,PWR-0079,https://m.media-amazon.com/images/I/41TeRE6TRCL.jpg
